ord,n,m,all_data,a,find_counterfactual_set,select_optimal_pairs,improved_counterfactual,time,equal_r1_r2,equal_r1_r3,equal_r2_r3
0,10,10,"[([15], 0.003068867619024317), ([46], 0.0008639196041372344), ([66], 0.0022889575244751854), ([91], 0.0001548404951753896), ([54], 0.001583503570159705), ([10], 0.0017790521356490386), ([65, 10], 0.004301631937781509), ([24, 66], 0.002525523155850986), ([9, 24, 66], 0.0027873933595047562)]",0.012613298640889815,[],"[15, 46, 91, 54, 65, 10, 9, 24, 66]",[],"[0.00011348724365234375, 0.0001704692840576172, 7.43865966796875e-05]",FALSE,TRUE,FALSE
0,8,11,"[([71], 0.001243509412141164), ([16], 0.004681658762629717), ([6, 16], 0.005631308524407858), ([10, 71], 0.004258624545942622), ([82, 10, 71], 0.008705811994033615), ([19, 82, 10, 71], 0.011886166152068247)]",0.02399640734868591,[],[],[],"[6.031990051269531e-05, 1.9311904907226562e-05, 2.7418136596679688e-05]",TRUE,TRUE,TRUE
0,10,12,"[([51], 0.001177945087078669), ([80], 0.004959285065264848), ([46], 0.0026121021197416756), ([19], 0.0010280128985004212), ([42], 0.0025506174985325154), ([38, 42], 0.004210386885937809), ([90, 46], 0.005246579087894006), ([66, 51], 0.0044244161035504655), ([64, 38, 42], 0.004818642560509534), ([57, 64, 38, 42], 0.005525645546445274)]",0.015174239865026381,"[80, 90, 46, 42, 66, 51]","[80, 19, 38, 42, 90, 46]",[],"[6.151199340820312e-05, 0.00021004676818847656, 4.9591064453125e-05]",TRUE,FALSE,FALSE
0,9,13,"[([18], 0.0025220862388906358), ([86], 0.0010758507152400748), ([12], 0.0004493033562140802), ([70], 0.0038890913160499), ([11], 0.0032577218054316136), ([9], 0.004480272282772392), ([95], 0.0001768744237298203), ([63], 0.002094714782032615), ([33], 0.003916573741473478)]",0.0027418833732931382,[9],[11],[9],"[5.7220458984375e-06, 0.00040435791015625, 5.269050598144531e-05]",TRUE,TRUE,TRUE
0,7,14,"[([16], 0.001962894826447574), ([65], 0.0004884907867219823), ([84, 65], 0.005243093081529291), ([11, 16], 0.004453660410693483), ([54, 84, 65], 0.005414845926113403), ([37, 11, 16], 0.006707547192850126)]",0.011601145902631222,"[84, 65, 37, 11, 16]","[84, 65, 37, 11, 16]",[],"[4.4345855712890625e-05, 1.9073486328125e-05, 2.9087066650390625e-05]",TRUE,FALSE,FALSE
0,7,15,"[([79], 0.004209874148121725), ([28], 0.0020781446754647693), ([13], 0.0035775090929748466), ([78, 79], 0.007263605638283213), ([37, 13], 0.008270540247762933), ([94, 28], 0.0067956442343358354), ([64, 94, 28], 0.00876069318983777)]",0.003910947586129516,[79],[79],[37],"[5.245208740234375e-06, 3.9577484130859375e-05, 3.0517578125e-05]",TRUE,TRUE,TRUE
0,5,16,"[([49], 0.004218584703519201), ([37], 0.004716163144610564), ([10], 0.0029804144430178427), ([60], 0.00418878711851054), ([13, 10], 0.005644754343324376)]",0.011241474774471403,"[37, 49, 60]","[49, 10, 60]","[37, 49, 60]","[1.6927719116210938e-05, 1.9311904907226562e-05, 2.4080276489257812e-05]",TRUE,TRUE,TRUE
0,6,17,"[([4], 0.0033349064736061824), ([85], 0.004817662764226259), ([79, 4], 0.005372636793873702), ([83, 85], 0.0053921916333403395), ([91, 83, 85], 0.009688906684721638), ([77, 79, 4], 0.0065311907043217685)]",0.004719296052482653,[85],[85],[],"[4.5299530029296875e-06, 1.9550323486328125e-05, 2.6226043701171875e-05]",TRUE,FALSE,FALSE
0,10,18,"[([13], 0.0011907640182383795), ([79], 0.004650576970999563), ([82], 0.002399496498204128), ([15], 0.003285727010705415), ([37], 0.0019502815476586594), ([62, 82], 0.003512266412717762), ([64, 13], 0.004698265509225549), ([85, 37], 0.003461270783832041), ([88, 62, 82], 0.005858662002415435), ([66, 85, 37], 0.0058206396388552906)]",0.017907669919912658,"[79, 15, 64, 13, 88, 62, 82]","[79, 15, 37, 62, 82, 64, 13]",[],"[6.151199340820312e-05, 0.0002033710479736328, 4.1961669921875e-05]",TRUE,FALSE,FALSE
0,7,19,"[([56], 2.46875494095899e-05), ([97], 0.003325184064037692), ([16, 97], 0.0035906327464412754), ([73, 56], 0.0025986014210186543), ([42, 73, 56], 0.0037862932780324725)]",0.005995818655402609,"[16, 97, 73, 56]","[16, 97, 73, 56]","[16, 42, 73, 97]","[3.075599670410156e-05, 1.3828277587890625e-05, 2.5033950805664062e-05]",TRUE,TRUE,TRUE
0,7,20,"[([89], 0.0006059499415481379), ([77], 0.0046259232714231276), ([99], 0.0024003254093834807), ([36], 0.0021623919505969692), ([87], 0.004968430103394275), ([71, 87], 0.006877657566459079), ([70, 89], 0.0025974632409098797)]",0.012645132604779898,"[87, 77, 99, 36]","[77, 36, 71, 87]","[71, 77, 87, 99]","[2.765655517578125e-05, 5.7220458984375e-05, 4.9114227294921875e-05]",TRUE,TRUE,TRUE
0,8,21,"[([63], 0.001512308375160581), ([38], 0.0012270747417212136), ([58], 0.002780602298546514), ([17], 0.0007370988626320119), ([35], 0.0022369699453979796), ([21], 5.97449891107826e-05), ([65], 0.0016015803097352056), ([52], 0.004522145931566956)]",0.0032794908429918026,[52],[52],[52],"[5.245208740234375e-06, 0.00015807151794433594, 3.1948089599609375e-05]",TRUE,TRUE,TRUE
0,9,22,"[([41], 0.002598496988158269), ([80], 0.0029720584823993645), ([31], 0.0013710644803594796), ([91], 0.0004769565649873841), ([57], 0.0017524520204797035), ([90], 0.0004075432072507895), ([59], 0.0026367150358938833), ([94], 0.0020978082240176), ([21], 2.2395919761613e-05)]",0.003207752434967944,"[80, 59]","[80, 90]",[],"[1.0967254638671875e-05, 0.00032711029052734375, 3.552436828613281e-05]",TRUE,FALSE,FALSE
0,5,23,"[([35], 0.0046414966547026265), ([64], 0.004707322552557877), ([26], 0.0003780792082574036), ([78], 0.002904563078177493), ([77], 0.0038029521716893724)]",0.008928928389878564,"[64, 35]","[35, 64]",[],"[9.298324584960938e-06, 2.0742416381835938e-05, 2.1457672119140625e-05]",TRUE,FALSE,FALSE
0,5,24,"[([34], 0.0017149348076523907), ([23], 0.003480171970968653), ([19, 23], 0.007783481645608291), ([92, 34], 0.005909956078656713)]",0.010383197271265314,"[19, 23, 92, 34]","[19, 23, 92, 34]",[],"[2.8371810913085938e-05, 9.059906005859375e-06, 2.09808349609375e-05]",TRUE,FALSE,FALSE
0,7,25,"[([41], 0.004575549711788545), ([22], 0.000966567105237705), ([76], 0.0032983777927810664), ([27], 0.001951759032698039), ([25, 76], 0.007611644109433381), ([95, 41], 0.005938643007004122), ([82, 95, 41], 0.01092732368471161)]",0.019745888282782537,"[25, 76, 82, 95, 41, 27]","[27, 25, 76, 82, 95, 41]",[],"[5.245208740234375e-05, 4.506111145019531e-05, 3.123283386230469e-05]",TRUE,FALSE,FALSE
0,9,26,"[([66], 0.003875719014736912), ([42], 0.004263264770762623), ([1], 0.00233227265875945), ([57], 0.004201688690972811), ([64], 0.0012724005601665806), ([65], 0.0006694379659882071), ([83], 0.004690229791464236), ([9], 0.004034227671670677), ([28, 57], 0.005145680818717375)]",0.013719547112278675,"[83, 42, 28, 57]","[42, 57, 64, 9]",[],"[3.9577484130859375e-05, 0.00027823448181152344, 4.029273986816406e-05]",TRUE,FALSE,FALSE
0,9,27,"[([11], 0.0009151162132544693), ([41], 0.0007472586286715156), ([39], 0.004750220955697031), ([34], 0.004415520057615086), ([99], 0.003654303332938855), ([47], 0.0009748480068123728), ([2], 0.0016053828465222631), ([52, 47], 0.005749610562544107), ([29, 52, 47], 0.007357621136337566)]",0.018646199682557617,"[39, 34, 99, 52, 47, 2]","[41, 39, 34, 99, 52, 47]",[],"[4.291534423828125e-05, 0.0002129077911376953, 3.8623809814453125e-05]",TRUE,FALSE,FALSE
0,6,28,"[([26], 0.001808233654036789), ([38], 0.004651048676354018), ([64], 0.002251170144086942), ([73], 0.004547831435306357), ([43], 0.00128800332648076), ([40, 26], 0.006226222818725721)]",0.01141268046572798,"[38, 73, 64]","[38, 64, 73]",[],"[1.7642974853515625e-05, 3.5762786865234375e-05, 2.6941299438476562e-05]",TRUE,FALSE,FALSE
0,8,29,"[([25], 0.0012252191285394365), ([4], 0.0030547635628088246), ([52], 0.0042807621798259185), ([94, 4], 0.0030996248071530836), ([32, 52], 0.0055314397146406895), ([43, 25], 0.00220468418872587), ([78, 32, 52], 0.006129524124031579), ([93, 43, 25], 0.005442732539110007)]",0.013013753816402547,[],"[4, 32, 52, 93, 43, 25]",[],"[7.963180541992188e-05, 9.655952453613281e-05, 4.029273986816406e-05]",FALSE,TRUE,FALSE
0,9,30,"[([24], 0.001501223906716329), ([14], 0.004843479772721471), ([43], 0.0046971768829075925), ([49], 0.0018972714902541232), ([60], 0.0010877410359288447), ([79], 0.002419342255809123), ([85], 0.00116569913371113), ([27, 24], 0.004076335419532184), ([57, 27, 24], 0.008388158655523647)]",0.008908135169056853,"[14, 43]","[14, 43]","[14, 43]","[1.5497207641601562e-05, 0.0002269744873046875, 3.933906555175781e-05]",TRUE,TRUE,TRUE
0,10,31,"[([65], 0.0034538452851375755), ([52, 65], 0.0059873351494866955), ([86, 52, 65], 0.007455158159414414)]",0.008967751967433381,[],[],[],"[1.8358230590820312e-05, 5.7220458984375e-06, 1.5974044799804688e-05]",TRUE,TRUE,TRUE
0,6,32,"[([33], 0.0024835876723347744), ([18], 0.004741616522652918), ([78], 0.0019338299982192104), ([5], 0.003523843177021601), ([71], 0.0008410977510157219), ([44, 71], 0.0010295726570214354)]",0.0034268660545208217,[18],[5],[18],"[4.76837158203125e-06, 3.790855407714844e-05, 2.5510787963867188e-05]",TRUE,TRUE,TRUE
0,8,33,"[([65], 0.0009125479364362437), ([15], 0.0013645160825544078), ([48], 0.002026459212375377), ([99], 0.003848002025856538), ([3], 0.0030468343108780837), ([22], 0.001338696475122242), ([37], 0.002156627219848725), ([94], 0.0008507564767782939)]",0.0037160944582414284,[99],[99],[99],"[4.76837158203125e-06, 0.00016069412231445312, 3.123283386230469e-05]",TRUE,TRUE,TRUE
0,6,34,"[([17], 0.0005723683264364709), ([41], 8.56682911048329e-05), ([32], 0.002366475229596262), ([79], 0.0027545009008199416), ([6], 0.0031514407675714753), ([95, 6], 0.0054504040717290175)]",0.008261046262841769,"[6, 79, 32]","[32, 79, 6]",[],"[1.8358230590820312e-05, 3.528594970703125e-05, 2.6464462280273438e-05]",TRUE,FALSE,FALSE
0,7,35,"[([71], 0.00378667680806665), ([67], 0.0011008004272388338), ([35, 71], 0.006757196798838889), ([11, 35, 71], 0.00915312667721127), ([38, 11, 35, 71], 0.010396739285711394), ([6, 38, 11, 35, 71], 0.01189082909819649)]",0.003962761958375349,"[71, 67]","[71, 67]","[6, 11, 38]","[1.0967254638671875e-05, 1.8835067749023438e-05, 2.8133392333984375e-05]",TRUE,FALSE,FALSE
0,8,36,"[([68], 0.001281890986296636), ([71], 5.0321187852318e-05), ([94, 68], 0.0055934939798459125), ([82, 94, 68], 0.009783387379499072)]",0.005292878880798292,"[94, 68]","[94, 68]","[82, 94]","[2.47955322265625e-05, 9.775161743164062e-06, 2.0503997802734375e-05]",TRUE,TRUE,TRUE
0,9,37,"[([36], 0.0013547090196608614), ([88, 36], 0.0029212105371613385), ([11, 88, 36], 0.003639059943733462)]",0.0016151603276731198,"[88, 36]","[88, 36]","[11, 88]","[8.821487426757812e-06, 5.4836273193359375e-06, 1.6450881958007812e-05]",TRUE,TRUE,TRUE
0,9,38,"[([18], 0.0030470999814549253), ([56, 18], 0.005774097827747815), ([44, 56, 18], 0.0077892674936727024), ([41, 44, 56, 18], 0.011530790552502078)]",0.006321845183206525,"[44, 56, 18]","[44, 56, 18]","[41, 44, 56]","[1.71661376953125e-05, 7.152557373046875e-06, 1.9073486328125e-05]",TRUE,TRUE,TRUE
0,10,39,"[([99], 0.0006510084314255665), ([83], 0.0024621721607362584), ([45], 0.0021847729165376927), ([84], 0.0009291915134878082), ([13], 0.0012283799499139126), ([74], 0.004848699719473054), ([62], 0.0025967298017517825), ([6], 0.001889215385867659), ([97], 0.0002411396929488835), ([85], 0.0028916477829590576)]",0.01034720964361639,"[74, 85, 62, 83]","[83, 45, 84, 74]",[],"[2.002716064453125e-05, 0.06488394737243652, 8.988380432128906e-05]",TRUE,FALSE,FALSE
1,6,0,"[([9], 0.0002989298412203078), ([91, 9], 0.0009690473055994647), ([74, 91, 9], 0.002520499860365175), ([81, 74, 91, 9], 0.005198649369128429)]",0.004992190668807752,"[81, 74, 91, 9]","[81, 74, 91, 9]","[9, 74, 81, 91]","[5.91278076171875e-05, 1.2874603271484375e-05, 3.504753112792969e-05]",TRUE,TRUE,TRUE
1,5,1,"[([19], 0.0007137826310460799), ([94], 0.002748237452983001), ([68], 0.0031848739812703505), ([69, 94], 0.007115280428601191), ([78, 69, 94], 0.008026209456867415)]",0.006242088363853401,"[69, 94]","[69, 94]","[68, 69, 78]","[1.8358230590820312e-05, 2.765655517578125e-05, 3.790855407714844e-05]",TRUE,FALSE,FALSE
1,9,2,"[([47], 0.0047651525783735165), ([88], 0.003047641292692177), ([35], 0.0006351023345465695), ([49], 0.0030847388651303077), ([4], 0.0026102700211185453), ([52, 49], 0.0031990341586622495), ([36, 47], 0.006658930498083665), ([12, 88], 0.004956272897382674), ([73, 36, 47], 0.010019323867119612)]",0.0015270087824602295,[47],[4],[73],"[8.58306884765625e-06, 0.00024437904357910156, 5.984306335449219e-05]",TRUE,TRUE,TRUE
1,5,3,"[([73], 0.0006821968200926803), ([23], 0.001028044477012503), ([69], 0.0028224426124518597), ([92, 69], 0.005111278268353741), ([48, 92, 69], 0.008898613343989278)]",0.010451857930210948,"[48, 92, 69, 23, 73]","[73, 23, 48, 92, 69]",[],"[6.246566772460938e-05, 2.193450927734375e-05, 3.24249267578125e-05]",TRUE,FALSE,FALSE
1,6,4,"[([29], 0.0025233652338444478), ([88], 0.0032498939967534187), ([32], 0.000355169152180323), ([63], 0.0011739808798723556), ([1], 0.0037825488132572777), ([33], 0.003083514208651072)]",0.001436694395783308,[1],[29],[1],"[5.9604644775390625e-06, 5.7697296142578125e-05, 3.5762786865234375e-05]",TRUE,TRUE,TRUE
1,8,5,"[([82], 0.0037777547189036544), ([72], 0.0045522565430047195), ([36], 0.0001539844528400636), ([62], 0.0013633127349287355), ([90, 62], 0.004177292233826938), ([99, 36], 0.0016155586801151396), ([3, 72], 0.006114754521751616)]",0.000516494037351849,[72],[62],[82],"[5.4836273193359375e-06, 7.867813110351562e-05, 3.814697265625e-05]",TRUE,TRUE,TRUE
1,8,6,"[([43], 0.0031082871117337684), ([84], 0.000815289612054399), ([68], 0.0003582489180820264), ([71, 84], 0.0012426200094347523), ([21, 68], 0.004355020399888851), ([65, 71, 84], 0.005787615488699559), ([90, 21, 68], 0.0060482490387113634), ([25, 90, 21, 68], 0.0063612667149576755)]",0.01586374253831829,[],[],[],"[0.00013113021850585938, 6.961822509765625e-05, 4.1484832763671875e-05]",TRUE,TRUE,TRUE
1,5,7,"[([47], 0.00463161333185927), ([67, 47], 0.007658433380244313), ([1, 67, 47], 0.01156437861288184)]",0.012551524417057328,[],[],[],"[2.9802322387695312e-05, 6.67572021484375e-06, 1.9073486328125e-05]",TRUE,TRUE,TRUE
1,9,8,"[([36], 0.003697563809512222), ([1], 0.004841841361983392), ([72], 0.002579935785737879), ([48, 1], 0.006562991583578144), ([2, 72], 0.007203336014326881), ([58, 48, 1], 0.006660703760522243), ([76, 2, 72], 0.009241895999503752)]",0.0058653874634882145,"[2, 72]","[36, 72]","[2, 76]","[1.239776611328125e-05, 4.1961669921875e-05, 3.314018249511719e-05]",TRUE,TRUE,TRUE
1,5,9,"[([40], 0.004570623494647543), ([64], 0.0034496685542583427), ([43], 0.0005990696395376993), ([57, 64], 0.006779057435185198), ([32, 57, 64], 0.00970010816628862)]",0.004637696427786203,"[57, 64]","[40, 43]","[32, 40]","[1.1444091796875e-05, 1.8596649169921875e-05, 2.574920654296875e-05]",TRUE,TRUE,TRUE
1,6,10,"[([11], 0.001136021666172759), ([20], 0.004653686327690837), ([61], 0.0012177831912584724), ([66, 20], 0.008509251960777956), ([70, 66, 20], 0.009589721573754905), ([50, 70, 66, 20], 0.014537080576907458)]",0.015527912496309242,"[50, 70, 66, 20, 61]","[11, 50, 70, 66, 20]","[20, 50, 61, 66, 70]","[4.982948303222656e-05, 2.6464462280273438e-05, 3.838539123535156e-05]",TRUE,TRUE,TRUE
1,5,11,"[([4], 0.0002878020140753912), ([59], 0.0016599106404489312), ([14], 0.003849646657406089), ([65, 4], 0.0038745691963181935), ([91, 65, 4], 0.004031912606037314)]",1.174999657382904e-05,[14],[4],[14],"[4.76837158203125e-06, 1.9550323486328125e-05, 2.6464462280273438e-05]",TRUE,TRUE,TRUE
1,5,12,"[([57], 0.0028353068343168076), ([87], 0.001902539089245448), ([28], 0.0022310016103439185), ([37], 0.0044202248267605024), ([95], 0.002310786814054487)]",0.005972604895068512,"[37, 57]","[87, 37]","[37, 57]","[1.0251998901367188e-05, 2.4318695068359375e-05, 2.384185791015625e-05]",TRUE,TRUE,TRUE
1,6,13,"[([30], 0.004319712963768187), ([66], 0.0007349346199664103), ([9, 30], 0.005148334590611209), ([36, 66], 0.0027120853369081792)]",0.0032174746000138213,[30],[30],"[9, 30]","[3.814697265625e-06, 1.0251998901367188e-05, 2.0503997802734375e-05]",TRUE,FALSE,FALSE
1,8,14,"[([66], 0.004527461235049895), ([98], 0.0031518116485717345), ([28], 0.004064210512989734), ([17, 28], 0.008353700009253442), ([61, 66], 0.005175144017291336), ([70, 98], 0.004188080231408818), ([29, 61, 66], 0.00798857799763809), ([38, 29, 61, 66], 0.010150358968848385)]",0.029092400817774415,[],[],[],"[0.00011134147644042969, 5.9604644775390625e-05, 3.4809112548828125e-05]",TRUE,TRUE,TRUE
1,10,15,"[([40], 0.00290150146458505), ([77], 0.0005666101712189275), ([80, 77], 0.0023806455504008154), ([38, 40], 0.005035869649984979), ([67, 80, 77], 0.004650846365753534), ([90, 38, 40], 0.006010546046553238), ([8, 67, 80, 77], 0.007592335117951183), ([47, 90, 38, 40], 0.007401175978029075)]",0.01846642364907928,[],[],[],"[0.00010180473327636719, 4.8160552978515625e-05, 3.314018249511719e-05]",TRUE,TRUE,TRUE
1,8,16,"[([77], 0.0020498952146753443), ([72], 0.00385723426846857), ([92], 0.004196338448838838), ([53], 0.00378799616898273), ([44], 0.0017150828177936194), ([20], 0.0020932664463493363), ([73], 0.002364298072605418), ([29, 72], 0.007466879865089799)]",0.007188772537971945,"[29, 72]","[29, 72]",[],"[1.1682510375976562e-05, 0.00016450881958007812, 3.504753112792969e-05]",TRUE,FALSE,FALSE
1,5,17,"[([69], 0.0040693584992195515), ([80], 9.6678154655282e-05), ([97], 0.0026957537751421236), ([99, 69], 0.004761837677782746), ([61, 99, 69], 0.005264383656091811)]",0.007278040665807231,[],"[97, 99, 69]","[61, 69, 97, 99]","[3.600120544433594e-05, 1.6927719116210938e-05, 2.5510787963867188e-05]",FALSE,FALSE,FALSE
1,5,18,"[([82], 0.004945747462851527), ([39], 0.0016048397142935744), ([75], 0.0037918871124460545), ([79], 0.0029032215580318483), ([80, 39], 0.0058686871602335175)]",0.010759710882733992,"[82, 80, 39]","[82, 80, 39]",[],"[1.7404556274414062e-05, 2.0265579223632812e-05, 2.2649765014648438e-05]",TRUE,FALSE,FALSE
1,9,19,"[([66], 0.000448221389577998), ([76], 0.003605978976711846), ([83], 0.0038410126511301238), ([22], 0.003280516055643973), ([23, 66], 0.004762976066315195), ([86, 22], 0.004930124650635895), ([26, 76], 0.008144576402188627), ([58, 83], 0.005590194121651928), ([21, 26, 76], 0.008774126459770439)]",0.027835729720088964,[],[],[],"[9.894371032714844e-05, 0.00010919570922851562, 3.457069396972656e-05]",TRUE,TRUE,TRUE
1,8,20,"[([60], 0.0035552272069036507), ([33], 0.0016566776015093287), ([39, 33], 0.00658637031459672), ([13, 60], 0.005570822057958577), ([36, 39, 33], 0.008852796234650611), ([75, 13, 60], 0.00641862366061732), ([58, 75, 13, 60], 0.0067093065905607695), ([25, 58, 75, 13, 60], 0.008154738267027188)]",0.024096389996416646,[],[],[],"[0.00010132789611816406, 3.528594970703125e-05, 3.0279159545898438e-05]",TRUE,TRUE,TRUE
1,10,21,"[([12], 0.003992386514598559), ([30], 0.0017617074252086402), ([77, 30], 0.005947121630601132), ([23, 12], 0.004692373513062494), ([49, 23, 12], 0.0072787394732443875), ([6, 77, 30], 0.007264716180186569), ([92, 6, 77, 30], 0.011191984581902993), ([62, 49, 23, 12], 0.01035880370383186)]",0.02268409352619678,[],[],[],"[9.369850158691406e-05, 3.62396240234375e-05, 3.075599670410156e-05]",TRUE,TRUE,TRUE
1,9,22,"[([22], 0.0018216084200580746), ([73], 0.0037530284839576078), ([68, 73], 0.006028832962454324), ([84, 22], 0.006340163459962297), ([54, 68, 73], 0.00831195310158558), ([20, 84, 22], 0.006375195996046769), ([75, 20, 84, 22], 0.011281803409300893), ([44, 54, 68, 73], 0.012435935429243535)]",0.016708099266520667,"[84, 22, 44, 54, 68, 73]","[68, 73, 75, 20, 84, 22]","[44, 54, 68, 73, 75]","[7.224082946777344e-05, 3.743171691894531e-05, 3.504753112792969e-05]",TRUE,FALSE,FALSE
1,5,23,"[([63], 0.003949683244080972), ([79, 63], 0.007361633309745928)]",0.007296960910692302,"[79, 63]","[79, 63]","[63, 79]","[8.58306884765625e-06, 4.0531158447265625e-06, 1.430511474609375e-05]",TRUE,TRUE,TRUE
1,7,24,"[([29], 0.0025463157058106378), ([100], 0.0001208930829204907), ([33], 0.000874438768059842), ([32], 0.0013640644115702654), ([28, 100], 0.002479457817794214), ([87, 29], 0.007075541803864012), ([55, 28, 100], 0.006715555510892078)]",0.010517749123040983,"[55, 28, 100, 32, 29]","[29, 32, 55, 28, 100]",[],"[5.078315734863281e-05, 4.673004150390625e-05, 3.0279159545898438e-05]",TRUE,FALSE,FALSE
1,8,25,"[([16], 0.0031177792063866007), ([95], 0.004026481501194155), ([93], 0.003476859692571984), ([55], 0.0002611390394461816), ([9], 0.002200522932737249), ([25, 55], 0.002499096631150539), ([65, 16], 0.004047569619950499), ([61, 25, 55], 0.006498537221045533)]",0.009106961146037627,"[95, 93, 16]","[16, 95, 9]",[],"[1.7881393432617188e-05, 9.608268737792969e-05, 3.361701965332031e-05]",TRUE,FALSE,FALSE
1,10,26,"[([10], 0.002528314942039549), ([16], 0.0005084477892142808), ([40], 0.003639702021365247), ([45], 0.00495887446261666), ([26, 16], 0.005076492808640959), ([48, 45], 0.005267764840502584), ([95, 40], 0.008610839490923368), ([94, 10], 0.0038537471600408857), ([65, 95, 40], 0.01164064929954911), ([79, 26, 16], 0.009094447107160852)]",0.012155912276936569,"[45, 95, 40]","[45, 95, 40]","[26, 65, 79, 95]","[1.9550323486328125e-05, 0.00016999244689941406, 5.245208740234375e-05]",TRUE,FALSE,FALSE
1,7,27,"[([17], 0.0001513779602977), ([51, 17], 0.0018702577247797425), ([58, 51, 17], 0.003383285651196083)]",0.0018787281447055868,"[58, 51, 17]","[58, 51, 17]","[51, 58]","[1.7642974853515625e-05, 5.245208740234375e-06, 1.71661376953125e-05]",TRUE,FALSE,FALSE
1,9,28,"[([40], 0.002863774216429742), ([49], 0.0031471381253261733), ([50], 0.004112944596470183), ([90, 50], 0.007550983242547771), ([67, 49], 0.005966886883902025), ([72, 40], 0.0036282381544382367), ([20, 72, 40], 0.005436748229247192), ([76, 67, 49], 0.010115908766482124), ([99, 90, 50], 0.008368891629830367)]",0.001776092400242383,[50],[40],[76],"[5.0067901611328125e-06, 8.082389831542969e-05, 3.5762786865234375e-05]",TRUE,TRUE,TRUE
