user,rec,score
6,646,5.8166375
6,342,5.63497
6,942,5.5442233
6,1141,5.52832
6,914,5.513351
6,742,5.5013094
6,612,5.495997
6,1441,5.479173
6,1118,5.3793406
6,603,5.2933545
6,1190,5.2855644
6,913,5.280157
6,1282,5.2676864
6,1352,5.2599688
6,511,5.21813
6,701,5.153247
6,970,5.127031
6,630,5.0798697
6,123,5.0716906
6,526,5.055209
7,1118,5.2617397
7,1140,5.1796455
7,1330,5.1388702
7,212,5.093099
7,1190,4.9536614
7,691,4.8857117
7,241,4.849804
7,1272,4.8443604
7,313,4.8361197
7,937,4.835232
7,498,4.8014684
7,1220,4.7967877
7,270,4.7873225
7,984,4.7198553
7,970,4.716401
7,206,4.713252
7,418,4.7034817
7,954,4.6867485
7,1054,4.6676226
7,184,4.664484
8,998,6.3036056
8,528,6.19354
8,49,5.9805427
8,611,5.8074822
8,649,5.7998276
8,114,5.7668643
8,180,5.7196026
8,509,5.707876
8,172,5.6738296
8,518,5.66028
8,295,5.6532226
8,612,5.591439
8,122,5.532427
8,131,5.5297427
8,185,5.5265765
8,594,5.525869
8,1147,5.523111
8,434,5.515308
8,191,5.5044727
8,525,5.488655
9,1118,5.6763725
9,937,5.2889667
9,971,5.17549
9,342,5.168454
9,522,5.155967
9,766,4.9716225
9,385,4.9683547
9,537,4.877532
9,695,4.8341866
9,294,4.7841105
9,235,4.770384
9,688,4.7500377
9,862,4.709191
9,683,4.6945057
9,254,4.6841607
9,380,4.6649384
9,1444,4.622006
9,61,4.5970106
9,514,4.5937185
9,33,4.588301
10,198,5.3684235
10,344,5.314213
10,186,5.17113
10,609,5.154809
10,509,5.082066
10,41,5.0747733
10,210,5.0499177
10,541,5.041625
10,485,5.035377
10,655,5.031638
10,63,5.0292244
10,355,5.0054226
10,601,4.952573
10,1477,4.9402514
10,513,4.9349413
10,177,4.932826
10,523,4.929348
10,425,4.927184
10,521,4.9205174
10,639,4.8999796
11,18,5.7840676
11,1496,5.676045
11,1141,5.645203
11,489,5.6394606
11,1292,5.5960445
11,1441,5.557085
11,198,5.5428834
11,482,5.5338564
11,632,5.5245113
11,300,5.506958
11,914,5.494628
11,1436,5.462245
11,342,5.4497333
11,476,5.4239902
11,937,5.420582
11,283,5.416448
11,645,5.4144664
11,789,5.4139647
11,518,5.3706007
11,746,5.366555
12,1114,5.4446197
12,749,5.441035
12,47,5.288406
12,1578,5.2541428
12,610,5.217549
12,897,5.172959
12,1056,5.0984054
12,669,5.0632553
12,155,5.059709
12,809,5.050116
12,118,5.038898
12,423,5.0284395
12,168,5.0172534
12,90,5.003748
12,1111,4.968939
12,662,4.9347873
12,343,4.9176044
12,1370,4.9098816
12,611,4.891126
12,1099,4.864946
13,1118,4.8243065
13,1352,4.6076646
13,165,4.5706105
13,612,4.552704
13,97,4.450437
13,1582,4.3825984
13,688,4.349102
13,691,4.3450146
13,1485,4.3240013
13,1012,4.3196282
13,631,4.3016543
13,126,4.2975874
13,189,4.283969
13,1011,4.270605
13,613,4.267107
13,877,4.2504635
13,311,4.2274756
13,1566,4.2079687
13,1208,4.192134
13,5,4.182535
14,309,7.4398794
14,314,7.132801
14,113,6.986984
14,661,6.9184155
14,457,6.905454
14,547,6.8917003
14,1000,6.836056
14,197,6.821596
14,406,6.78695
14,295,6.755668
14,464,6.719701
14,726,6.709707
14,674,6.703448
14,644,6.6967993
14,388,6.6758413
14,643,6.6438637
14,536,6.5890336
14,58,6.5650983
14,770,6.5499396
14,60,6.5441313
15,479,5.0353966
15,1252,5.0102677
15,1220,4.9176636
15,135,4.894725
15,390,4.857951
15,316,4.818847
15,895,4.8085036
15,130,4.7928042
15,937,4.709331
15,1013,4.647327
15,1248,4.6457043
15,1159,4.6397834
15,376,4.6362367
15,1118,4.618762
15,97,4.6011906
15,1065,4.599955
15,494,4.5992913
15,1011,4.5977397
15,392,4.571092
15,604,4.5625253
16,165,5.60399
16,311,5.363369
16,1054,5.240571
16,188,5.2375946
16,1111,5.2292905
16,270,5.1562605
16,113,5.1180696
16,21,5.1041603
16,1226,5.076664
16,1010,5.0068164
16,915,4.980384
16,257,4.908105
16,55,4.908052
16,1092,4.8495183
16,1136,4.826064
16,168,4.8259645
16,169,4.8073697
16,832,4.7385263
16,526,4.7213173
16,189,4.7109966
17,165,5.6931467
17,1226,5.1999884
17,250,5.16323
17,311,5.1464305
17,1010,4.990195
17,21,4.93896
17,505,4.898516
17,417,4.8966756
17,527,4.8380003
17,971,4.801638
17,1106,4.7971663
17,900,4.7802315
17,611,4.7729793
17,1212,4.758433
17,1261,4.7503366
17,86,4.741385
17,264,4.7190237
17,128,4.6789856
17,513,4.677881
17,98,4.674675
18,342,6.1222157
18,951,5.454299
18,914,5.449183
18,1077,5.3572755
18,283,5.333861
18,807,5.2915907
18,1496,5.27775
18,789,5.2675714
18,1136,5.123919
18,82,5.0790854
18,1582,5.069133
18,255,5.0674214
18,628,5.0565267
18,313,5.055793
18,168,5.046357
18,673,5.0038633
18,491,4.996794
18,582,4.975254
18,1141,4.9596386
18,528,4.9577045
19,133,5.6510854
19,472,5.6131377
19,314,5.5641413
19,425,5.5523334
19,669,5.4770675
19,428,5.457436
19,1430,5.4480867
19,388,5.4304714
19,113,5.4256372
19,196,5.4245057
19,22,5.4230137
19,31,5.3901024
19,1330,5.346172
19,491,5.3410106
19,652,5.292734
19,13,5.2924533
19,202,5.272606
19,177,5.2716527
19,123,5.2414236
19,478,5.237841
20,311,6.048093
20,173,5.902126
20,270,5.8687487
20,316,5.8525844
20,1118,5.775281
20,21,5.641606
20,218,5.6205187
20,27,5.5886455
20,235,5.5186567
20,338,5.504563
20,203,5.438636
20,505,5.4284534
20,78,5.423997
20,227,5.4122834
20,1139,5.402861
20,81,5.3841715
20,714,5.293339
20,143,5.2882147
20,55,5.286601
20,509,5.2730184
21,1136,5.4002013
21,937,5.320356
21,1088,5.27789
21,100,5.221301
21,331,5.2141986
21,1123,5.0697465
21,939,5.0252347
21,1118,4.993583
21,643,4.9798307
21,1012,4.9775076
21,849,4.976471
21,1485,4.9458575
21,311,4.8868117
21,428,4.8819475
21,329,4.877093
21,805,4.861808
21,479,4.8506937
21,250,4.8203936
21,587,4.7942953
21,189,4.780519
22,250,5.7114954
22,165,5.3391213
22,308,5.3045297
22,1010,5.2339764
22,611,5.161175
22,168,5.0918255
22,1226,5.0262227
22,1123,4.980503
22,527,4.9579616
22,582,4.8167033
22,311,4.805972
22,171,4.8055296
22,21,4.801666
22,330,4.6930547
22,173,4.6796675
22,1049,4.674737
22,1212,4.6713333
22,264,4.6681576
22,11,4.6566215
22,209,4.6342907
23,849,5.7616644
23,1254,5.600811
23,749,5.5870066
23,1430,5.562698
23,897,5.5098057
23,848,5.4803843
23,1330,5.4544497
23,1146,5.4184713
23,669,5.412698
23,948,5.396386
23,59,5.293291
23,505,5.2757287
23,178,5.2205753
23,283,5.2044954
23,831,5.2025776
23,949,5.193055
23,1111,5.168669
23,587,5.143961
23,610,5.1183004
23,516,5.1038766
24,587,5.8170176
24,1330,5.7757683
24,849,5.555864
24,18,5.5412717
24,1430,5.532723
24,155,5.5298967
24,901,5.4985657
24,314,5.487903
24,273,5.417427
24,1011,5.341381
24,949,5.308034
24,1094,5.3054714
24,1124,5.249194
24,599,5.2435346
24,1525,5.2378125
24,529,5.210127
24,674,5.2056875
24,123,5.2031784
24,1146,5.189435
24,669,5.1781616
25,250,5.2618995
25,476,5.2553678
25,193,5.1453195
25,801,5.09218
25,949,5.0532994
25,431,5.0143166
25,114,4.9161043
25,954,4.860863
25,295,4.838367
25,309,4.7952585
25,501,4.7923326
25,658,4.7769074
25,518,4.7699857
25,636,4.758193
25,1158,4.7499757
25,222,4.7437
25,897,4.7401185
25,191,4.735442
25,1124,4.715502
25,245,4.6963167
26,18,5.272178
26,8,5.2698407
26,342,4.9746256
26,897,4.88152
26,55,4.871916
26,901,4.8522224
26,47,4.8410077
26,1382,4.7846427
26,522,4.783514
26,645,4.7779484
26,714,4.7738357
26,155,4.722081
26,1146,4.7086773
26,235,4.7008276
26,587,4.6824436
26,489,4.6761765
26,578,4.674504
26,44,4.658178
26,610,4.6567836
26,59,4.609104
27,132,5.3469186
27,652,5.2398796
27,611,5.111804
27,512,5.0334787
27,344,5.030729
27,914,4.843904
27,168,4.810326
27,485,4.784826
27,639,4.7845783
27,495,4.771143
27,200,4.748874
27,526,4.7212796
27,483,4.6991878
27,610,4.692522
27,998,4.6842937
27,609,4.6827254
27,1352,4.666735
27,250,4.6658854
27,164,4.601084
27,355,4.595791
28,283,5.957128
28,99,5.8606997
28,509,5.7524476
28,1111,5.748119
28,511,5.71496
28,342,5.700805
28,481,5.673763
28,13,5.5763693
28,1430,5.5616446
28,1525,5.5431156
28,520,5.5352006
28,123,5.526528
28,863,5.5195885
28,177,5.5174546
28,1441,5.49889
28,601,5.459576
28,645,5.45076
28,316,5.446209
28,654,5.439403
28,58,5.4281063
29,250,5.216271
29,316,5.067933
29,476,5.0351768
29,1156,4.8039284
29,1441,4.780529
29,831,4.771497
29,392,4.6987233
29,482,4.692321
29,1010,4.6915
29,135,4.6432514
29,1220,4.612265
29,937,4.60982
29,165,4.6071906
29,1146,4.6066346
29,939,4.6064386
29,189,4.6015964
29,222,4.587055
29,6,4.5858755
29,1485,4.581033
29,522,4.5683904
30,1012,6.249769
30,522,6.038279
30,428,5.873601
30,719,5.827347
30,390,5.8179145
30,1282,5.7785945
30,680,5.7006283
30,1013,5.692899
30,1190,5.6580467
30,306,5.650545
30,536,5.570288
30,603,5.532955
30,691,5.5204473
30,1181,5.505835
30,1485,5.505327
30,1231,5.4936633
30,954,5.479224
30,363,5.4619493
30,56,5.437846
30,60,5.431954
31,652,5.8332715
31,789,5.716088
31,198,5.706549
31,523,5.6736093
31,1496,5.6122518
31,1485,5.5927076
31,179,5.47333
31,601,5.4165583
31,1012,5.3945923
31,176,5.394025
31,1330,5.335552
31,41,5.2783237
31,1430,5.276754
31,191,5.26327
31,1129,5.2608147
31,1352,5.2498283
31,199,5.1839647
31,651,5.1119075
31,300,5.0986443
31,659,5.084629
32,55,6.06356
32,1430,6.0190134
32,527,5.9451013
32,996,5.922136
32,113,5.905386
32,1254,5.7007914
32,1089,5.6662083
32,309,5.636733
32,661,5.6277585
32,911,5.5832424
32,851,5.578872
32,848,5.566961
32,609,5.5475516
32,250,5.5328927
32,388,5.512002
32,1330,5.507217
32,318,5.503509
32,1130,5.5014086
32,245,5.4905543
32,1056,5.4841356
33,126,5.515731
33,646,5.4523005
33,186,5.3529444
33,198,5.315345
33,1352,5.2948365
33,184,5.2402906
33,509,5.218763
33,609,5.1676025
33,541,5.1438046
33,601,5.097789
33,1477,5.0854673
33,659,5.0799704
33,177,5.078042
33,425,5.0723996
33,521,5.0657334
33,132,5.0598574
33,655,5.051862
33,639,5.0364056
33,13,5.024856
33,485,5.0111084
34,479,5.663657
34,1036,5.1002264
34,486,5.06106
34,1485,5.0464044
34,652,4.9983373
34,523,4.949814
34,604,4.9353857
34,271,4.9306283
34,937,4.9004188
34,636,4.8777165
34,858,4.8769546
34,638,4.8717227
34,335,4.8605437
34,355,4.860087
34,609,4.845178
34,1441,4.833796
34,135,4.8266506
34,545,4.8228416
34,882,4.814573
34,1330,4.789249
35,55,5.4042926
35,849,4.977277
35,848,4.957279
35,939,4.948093
35,1146,4.908195
35,1088,4.9048824
35,47,4.89619
35,1254,4.8659735
35,155,4.8124757
35,476,4.772585
35,587,4.7704997
35,809,4.7269926
35,331,4.7177176
35,178,4.6902285
35,1049,4.666691
35,189,4.6571474
35,467,4.640957
35,479,4.6246004
35,536,4.612166
35,516,4.6076326
36,522,5.3519793
36,1012,5.3040752
36,1485,5.223412
36,1118,5.0804
36,1282,5.0284395
36,290,5.008606
36,376,4.939769
36,1292,4.9025683
36,514,4.8766303
36,719,4.867181
36,342,4.858024
36,1441,4.827522
36,913,4.8237543
36,1190,4.8056173
36,970,4.792714
36,1013,4.7782893
36,462,4.7647114
36,243,4.7596307
36,317,4.7448483
36,427,4.737066
37,165,5.684433
37,1182,5.3556824
37,1118,5.152063
37,311,5.0584664
37,168,4.910106
37,250,4.893221
37,738,4.7742534
37,751,4.7656703
37,160,4.736602
37,942,4.7037487
37,494,4.692106
37,392,4.6802583
37,228,4.666506
37,1123,4.63008
37,270,4.6204724
37,400,4.617271
37,171,4.605328
37,188,4.59769
37,731,4.5917997
37,326,4.538345
38,1441,5.266446
38,1485,5.11908
38,482,4.9684863
38,1352,4.827441
38,1330,4.7950516
38,601,4.7915726
38,177,4.72745
38,184,4.7188005
38,1013,4.6118956
38,300,4.603101
38,1141,4.5865984
38,168,4.559498
38,1012,4.5417624
38,113,4.541
38,1292,4.531666
38,863,4.510545
38,858,4.505666
38,609,4.5053997
38,1055,4.499077
38,957,4.4931636
39,165,5.983984
39,295,5.41625
39,759,5.3744874
39,1207,5.281165
39,1054,5.240387
39,314,5.2388854
39,158,5.213062
39,97,5.2046742
39,1033,5.1935234
39,316,5.193522
39,113,5.1840925
39,168,5.1796036
39,954,5.163848
39,509,5.1547174
39,124,5.1449585
39,292,5.1442933
39,189,5.139839
39,406,5.120835
39,218,5.117723
39,1112,5.077129
40,343,6.1136093
40,732,5.916722
40,392,5.7615786
40,1441,5.7262297
40,1118,5.63668
40,749,5.622256
40,376,5.545591
40,482,5.4282703
40,631,5.309124
40,957,5.286404
40,655,5.2679787
40,84,5.2032647
40,1220,5.1951003
40,494,5.1829896
40,1140,5.1764235
40,511,5.141091
40,513,5.1376057
40,0,5.1095333
40,168,5.092882
40,123,5.09041
41,937,6.0593605
41,1118,5.688962
41,226,5.601021
41,498,5.5786314
41,479,5.4671073
41,256,5.3274317
41,647,5.3023024
41,1036,5.2675877
41,392,5.256982
41,221,5.234561
41,611,5.1658707
41,337,5.128684
41,183,5.0954285
41,998,5.086957
41,862,5.0755215
41,18,5.0381956
41,687,5.031624
41,1012,5.028257
41,688,5.004367
41,571,5.003157
42,1254,5.189271
42,1485,5.1641
42,1330,4.877988
42,849,4.812815
42,636,4.811029
42,1430,4.8107247
42,1055,4.8084903
42,126,4.7971845
42,355,4.786934
42,487,4.785459
42,895,4.7418914
42,503,4.7317147
42,601,4.7114124
42,848,4.7018237
42,212,4.6690655
42,406,4.642692
42,165,4.6425753
42,1013,4.6405244
42,478,4.61555
42,957,4.613576
43,1330,6.043375
43,1430,5.8467116
43,1485,5.6478267
43,1254,5.600559
43,123,5.551282
43,1525,5.5258617
43,196,5.481048
43,426,5.4199567
43,428,5.417217
43,55,5.399141
43,503,5.3000755
43,136,5.296977
43,58,5.288553
43,511,5.273361
43,197,5.2664647
43,1094,5.257325
43,406,5.2531023
43,1124,5.2501163
43,1411,5.244505
43,59,5.2392673
44,165,5.2521777
44,250,5.2320538
44,168,5.2144203
44,611,5.1877875
44,188,5.141655
44,1156,5.100435
44,766,5.0059977
44,688,4.962786
44,714,4.9543686
44,484,4.943297
44,113,4.9419184
44,514,4.8963857
44,1444,4.8947167
44,406,4.8869386
44,607,4.804145
44,741,4.7831106
44,1010,4.782813
44,316,4.7341013
44,749,4.733521
44,1429,4.7290745
45,221,5.4238567
45,587,5.356863
45,1092,5.2414937
45,777,5.2139306
45,250,5.2109685
45,650,5.2101345
45,194,5.2031217
45,1146,5.1790013
45,256,5.147542
45,1111,5.070156
45,63,5.0371757
45,453,5.0290723
45,314,5.003563
45,15,4.9688916
45,529,4.9489255
45,541,4.921481
45,113,4.9178586
45,527,4.9067535
45,355,4.8790736
45,190,4.878667
46,173,5.516407
46,295,5.3959875
46,171,5.2552257
46,63,5.21973
46,649,5.214662
46,49,5.1895723
46,528,5.114979
46,55,5.0833454
46,21,5.068307
46,190,5.068199
46,165,5.06346
46,97,5.041851
46,509,4.9619784
46,180,4.951469
46,189,4.942428
46,954,4.931072
46,191,4.9031277
46,529,4.892581
46,215,4.8819904
46,185,4.8723745
47,165,4.8762207
47,218,4.8011355
47,113,4.530249
47,311,4.4587965
47,173,4.4479523
47,132,4.417623
47,100,4.3328013
47,63,4.324819
47,126,4.3223925
47,485,4.317023
47,78,4.311765
47,209,4.308058
47,609,4.214921
47,639,4.211045
47,171,4.193918
47,612,4.193304
47,55,4.182534
47,250,4.171442
47,316,4.1688013
47,295,4.1537175
48,1118,4.7535768
48,432,4.338992
48,914,4.314766
48,360,4.2736783
48,1582,4.222129
48,165,4.2103786
48,495,4.167048
48,344,4.151501
48,201,4.057339
48,113,3.9945638
48,1181,3.9859073
48,181,3.9784462
48,468,3.9521139
48,1205,3.9078634
48,714,3.8987722
48,850,3.879513
48,294,3.8789952
48,47,3.8703036
48,639,3.8557656
48,303,3.8550973
49,611,4.6838903
49,316,4.6620708
49,494,4.646015
49,49,4.513599
49,97,4.513328
49,171,4.4884586
49,646,4.4131184
49,168,4.390922
49,198,4.3897123
49,0,4.3881154
49,732,4.370049
49,96,4.3575478
49,173,4.3493223
49,1394,4.348775
49,132,4.347106
49,165,4.3105116
49,135,4.2919083
49,376,4.280111
49,526,4.260606
49,1118,4.235227
50,777,5.055092
50,165,4.975868
50,1092,4.8529677
50,1111,4.7858977
50,298,4.780345
50,311,4.728689
50,248,4.7275667
50,1182,4.6745954
50,1226,4.5885196
50,1146,4.5849223
50,505,4.5658574
50,324,4.460512
50,250,4.458634
50,189,4.4506154
50,65,4.4408145
50,168,4.42712
50,1244,4.417164
50,392,4.391327
50,792,4.3738675
50,1032,4.3728375
51,1118,5.865591
51,1582,5.2179832
51,1205,5.0510573
51,432,5.0429287
51,294,5.0221896
51,862,4.8661256
51,360,4.8378725
51,1572,4.8326254
51,165,4.7831583
51,113,4.693627
51,1537,4.6816006
51,1140,4.6481037
51,495,4.6388607
51,82,4.633129
51,1576,4.603241
51,189,4.590214
51,268,4.576545
51,316,4.5374994
51,1402,4.5282946
51,1208,4.520743
52,1430,6.4925847
52,1330,6.439992
52,1114,5.906264
52,915,5.7490697
52,645,5.733363
52,949,5.674115
52,388,5.663649
52,897,5.626314
52,284,5.6137433
52,176,5.567769
52,662,5.557386
52,1254,5.534251
52,1485,5.5310206
52,406,5.5303044
52,601,5.527706
52,893,5.5199976
52,669,5.5179815
52,849,5.489528
52,113,5.4831314
52,1145,5.4550037
53,1012,5.2499804
53,522,4.8957796
53,1158,4.8678327
53,18,4.779305
53,255,4.7225733
53,41,4.714503
53,428,4.6707764
53,63,4.6448283
53,250,4.6340237
53,789,4.6259327
53,1282,4.6149616
53,691,4.6054745
53,132,4.584348
53,1231,4.5388746
53,914,4.5357575
53,632,4.5328126
53,611,4.51921
53,1385,4.506249
53,1190,4.4944134
53,646,4.4864388
54,250,5.8757114
54,587,5.8639317
54,309,5.767621
54,1146,5.7050266
54,147,5.642155
54,954,5.610459
54,295,5.6097064
54,142,5.605156
54,749,5.567909
54,1136,5.548633
54,770,5.4857903
54,658,5.476645
54,314,5.4748826
54,194,5.4100976
54,741,5.352678
54,1123,5.347065
54,428,5.329029
54,1485,5.305724
54,683,5.2984385
54,281,5.2649918
55,1220,5.2237463
55,1111,5.2161493
55,342,5.188956
55,283,5.1872573
55,13,5.150308
55,472,5.0898104
55,1578,5.056714
55,511,5.014844
55,188,4.96339
55,1174,4.9475226
55,749,4.9470487
55,177,4.9205165
55,654,4.9201527
55,481,4.910965
55,343,4.8639092
55,491,4.8300776
55,223,4.8267016
55,494,4.82589
55,510,4.8235593
55,1430,4.8121767
56,311,5.286732
56,95,5.2564507
56,447,5.2382293
56,414,5.1584573
56,942,5.1316514
56,165,5.102249
56,147,5.0733266
56,1118,5.029765
56,236,4.9929075
56,214,4.9752975
56,1054,4.9739866
56,131,4.9401927
56,289,4.929478
56,250,4.900804
56,225,4.8984456
56,750,4.8906555
56,734,4.8878937
56,1016,4.882633
56,270,4.8818083
56,611,4.871069
57,1441,5.276523
57,1292,5.2334914
57,632,5.196271
57,482,5.188315
57,531,5.1245885
57,897,5.0940747
57,496,5.086424
57,316,5.0562086
57,8,5.0307183
57,18,5.0228624
57,477,4.9754324
57,1141,4.966881
57,478,4.963415
57,123,4.9345427
57,283,4.87202
57,522,4.8678455
57,509,4.8627563
57,342,4.857263
57,1496,4.846501
57,1485,4.836141
58,970,4.8117757
58,1220,4.7914886
58,1141,4.7432914
58,601,4.709717
58,511,4.651726
58,177,4.645595
58,481,4.6240726
58,1118,4.6230516
58,1441,4.6136427
58,343,4.544965
58,478,4.5424995
58,1190,4.514391
58,1330,4.4988513
58,342,4.4977064
58,477,4.4165983
58,13,4.4089193
58,602,4.4043655
58,646,4.380586
58,184,4.3798485
58,1485,4.371554
59,218,5.9495187
59,165,5.85915
59,126,5.5801744
59,456,5.5798984
59,316,5.578306
59,311,5.5556707
59,270,5.518154
59,505,5.3909645
59,394,5.339837
59,198,5.3212624
59,509,5.3020544
59,536,5.2468023
59,192,5.2385855
59,96,5.234969
59,933,5.226183
59,113,5.2056246
59,601,5.1725616
59,274,5.169979
59,86,5.165099
59,1485,5.1590347
60,390,6.4626236
60,1000,6.230527
60,1013,6.2242413
60,1159,6.221925
60,954,6.2211843
60,604,6.2045636
60,1035,6.199914
60,154,6.1880484
60,130,6.1252594
60,285,6.0920024
60,487,6.054304
60,631,6.00585
60,916,5.966161
60,1252,5.9047375
60,1030,5.8885894
60,636,5.8443775
60,1485,5.832971
60,545,5.8311386
60,363,5.827861
60,643,5.8205957
61,428,5.427007
61,1330,5.4080634
61,509,5.2598352
61,1485,5.2000313
61,1430,5.1650186
61,425,5.065804
61,464,5.010659
61,126,4.9685163
61,388,4.898525
61,849,4.8947425
61,742,4.87876
61,1525,4.8701077
61,1094,4.8695207
61,1254,4.8623533
61,1055,4.8444214
61,191,4.8221
61,133,4.792194
61,196,4.783629
61,204,4.7815175
61,481,4.776899
62,611,5.549519
62,132,5.5101857
62,165,5.478863
62,612,5.470126
62,126,5.2631564
62,501,5.2418113
62,609,5.241579
62,485,5.2004695
62,998,5.122008
62,198,5.109142
62,5,5.099958
62,100,5.066325
62,277,5.065612
62,311,5.0655165
62,355,5.0547976
62,639,5.0462613
62,295,5.0371647
62,186,4.9995966
62,168,4.985249
62,1264,4.9843254
63,126,5.8394
63,186,5.6766133
63,184,5.5639606
63,63,5.4981084
63,177,5.40171
63,425,5.396069
63,168,5.3456426
63,601,5.3151946
63,198,5.3122835
63,659,5.2566814
63,132,5.2476306
63,179,5.2445726
63,609,5.229896
63,655,5.225381
63,639,5.2144957
63,113,5.1815515
63,509,5.1746964
63,1477,5.171684
63,512,5.1555853
63,494,5.151986
64,511,5.643804
64,970,5.605047
64,605,5.573426
64,1220,5.5670204
64,645,5.5269256
64,342,5.48469
64,749,5.4712996
64,528,5.44855
64,1578,5.401507
64,291,5.3616977
64,1111,5.3071
64,509,5.3019295
64,164,5.2375445
64,1124,5.207253
64,602,5.1991205
64,1140,5.1663504
64,915,5.1028495
64,913,5.1016855
64,1141,5.0949926
64,1238,5.0799985
65,314,6.2536144
65,113,6.017678
65,478,5.7344713
65,511,5.6969433
65,342,5.6873703
65,313,5.5724688
65,425,5.541685
65,177,5.5346155
65,1330,5.446241
65,428,5.3443294
65,388,5.268606
65,650,5.2495537
65,1220,5.227751
65,587,5.161015
65,22,5.143352
65,642,5.1166005
65,29,5.115194
65,1174,5.110003
65,196,5.107738
65,189,5.100715
66,1254,5.203691
66,1330,5.0101132
66,55,4.8840604
66,1430,4.864083
66,749,4.8341093
66,714,4.7707825
66,428,4.691984
66,1106,4.6590333
66,273,4.6438804
66,848,4.618679
66,113,4.6152096
66,1485,4.582269
66,503,4.579564
66,261,4.5778666
66,99,4.574009
66,58,4.554334
66,661,4.5466433
66,197,4.5453315
66,1124,4.524057
66,222,4.5026636
67,295,5.5681934
67,1330,5.549635
67,314,5.472521
67,529,5.4208326
67,316,5.405514
67,1485,5.3717637
67,428,5.3142257
67,954,5.3124566
67,587,5.3101788
67,1430,5.30659
67,1146,5.2791386
67,897,5.26344
67,949,5.2371755
67,250,5.20526
67,47,5.2030387
67,309,5.19427
67,464,5.190234
67,736,5.1858926
67,425,5.158418
67,644,5.149316
68,612,6.5331764
68,165,6.321365
68,5,6.123183
68,541,5.9354763
68,132,5.8502607
68,63,5.7699633
68,188,5.7665806
68,646,5.6879497
68,1181,5.676402
68,528,5.654625
68,55,5.6496577
68,295,5.623993
68,1208,5.602671
68,99,5.6002507
68,113,5.599157
68,355,5.598262
68,659,5.5911818
68,655,5.578641
68,162,5.5750165
68,1582,5.570761
69,344,5.815589
69,541,5.472208
69,132,5.434351
69,609,5.4141197
69,113,5.36546
69,848,5.3388944
69,527,5.285861
69,63,5.259015
69,165,5.255652
69,485,5.230636
69,655,5.196226
69,168,5.1412163
69,1111,5.1234016
69,513,5.111157
69,267,5.0966926
69,178,5.095718
69,164,5.0893564
69,355,5.083746
69,90,5.070956
69,314,5.053865
70,192,5.148928
70,517,4.830943
70,179,4.7217145
70,509,4.4334016
70,113,4.406714
70,177,4.2943254
70,191,4.291054
70,63,4.0774336
70,425,3.952412
70,701,3.9029205
70,127,3.900627
70,1477,3.8251367
70,478,3.7943156
70,1129,3.7609303
70,184,3.7278101
70,291,3.7176483
70,650,3.7060225
70,441,3.6996243
70,156,3.6900403
70,528,3.6257691
71,1485,5.1522007
71,63,5.088583
71,509,5.0487757
71,126,5.012883
71,425,4.986543
71,133,4.9358535
71,1330,4.915596
71,1441,4.9125876
71,481,4.8935113
71,521,4.8732553
71,311,4.872618
