user,pos_item,neg_item
22,1246,248
22,1653,736
22,32,377
22,16,1037
22,161,1441
22,1089,353
22,1200,473
22,1240,1552
22,163,833
22,1036,648
22,1625,185
22,1047,1527
22,47,1278
22,474,799
22,1573,288
22,543,587
22,292,587
22,1205,1438
22,1597,592
22,70,1608
22,95,230
22,257,1544
22,849,39
22,370,786
22,1270,1544
22,1261,1580
22,1265,1037
22,1517,798
22,81,454
22,223,1485
22,104,1441
22,368,799
22,380,480
22,663,1377
22,330,1479
22,1476,248
22,1425,216
22,180,1566
22,1215,353
22,585,648
22,231,480
22,708,1608
22,500,1091
22,784,833
22,532,786
22,1391,1566
22,586,798
22,333,312
22,818,592
22,466,1020
22,1584,344
22,589,353
22,1676,799
22,316,1377
22,780,1527
22,173,1091
22,429,1438
23,908,435
23,196,47
23,593,521
23,1249,1227
23,951,1060
23,551,661
23,70,1227
23,648,1227
23,367,1617
23,1073,1019
23,1097,1227
23,260,2
23,317,293
23,60,1009
23,788,1320
23,50,2
23,296,1171
23,858,1248
23,1221,348
23,1313,1248
23,608,1009
23,1213,435
23,1234,319
23,866,47
23,1089,1019
23,1179,161
23,493,1248
23,6,293
23,555,661
23,592,1248
23,431,2
23,1645,47
23,1500,1617
23,1189,161
23,1148,1060
23,745,319
23,720,161
23,1223,47
23,1,924
23,1274,348
23,595,161
23,750,162
23,1196,435
23,589,2
23,1199,1617
23,1240,1019
23,1200,1060
23,1214,293
23,541,2
23,1077,1320
23,480,2
23,1206,556
23,1584,11
23,29,161
23,1127,47
23,1653,1009
23,1215,661
23,32,47
23,1580,1009
23,1527,319
23,1676,1617
23,610,319
23,968,319
23,1376,1617
23,1356,1227
23,198,348
23,1573,162
23,1129,435
23,1375,357
23,1396,1674
23,76,293
23,1372,1019
23,780,1617
23,329,348
23,1306,1171
23,442,521
23,748,161
23,671,556
23,316,1227
23,674,1320
23,1544,319
23,1265,47
23,34,1019
23,1188,661
23,39,348
23,21,2
23,125,1009
23,235,47
23,45,1227
23,1517,924
23,52,47
23,1243,1248
26,593,1391
26,480,231
26,511,1126
26,1,455
26,318,1196
26,529,337
26,524,1391
26,356,466
26,587,518
26,1584,1485
26,597,586
26,1640,585
26,1682,344
26,500,1517
26,628,673
26,161,370
26,1370,1100
26,454,429
26,491,450
26,339,1390
26,852,64
26,1092,104
26,648,1097
26,736,317
26,1422,788
26,95,1409
26,1015,539
26,234,122
26,1541,818
26,276,466
26,1544,1028
26,435,1597
26,542,612
26,609,216
26,1307,1498
26,1393,586
26,1265,1425
26,471,216
26,440,413
26,377,368
26,1101,441
26,74,248
26,252,135
26,168,413
26,48,1463
26,207,337
26,118,1556
26,1394,333
26,1259,585
26,1073,518
26,7,830
26,1135,216
26,1380,1381
26,588,432
26,1247,370
26,381,1100
26,1240,38
26,1678,1485
26,62,231
26,780,122
26,412,784
26,1608,1097
26,350,38
26,467,673
26,1271,216
26,378,104
26,1586,38
26,708,585
26,5,333
26,804,248
26,424,445
26,4,1390
26,303,344
26,472,450
26,765,1517
26,762,1100
26,724,370
26,278,1097
26,315,466
26,416,1126
26,694,585
26,1198,518
26,1291,248
26,1090,429
26,1246,518
26,1285,818
26,1663,788
26,592,818
26,11,612
26,1270,539
26,217,445
26,39,673
26,1020,64
26,1088,455
26,1645,1425
26,236,1463
26,237,1100
26,1625,1425
26,463,432
26,1644,3
26,364,122
26,499,370
26,719,1021
26,1569,1588
29,260,912
29,1135,1370
29,858,1242
29,318,1370
29,541,21
29,1252,1370
29,1225,474
29,50,21
29,1204,163
29,1085,1370
29,1262,1370
29,1036,1242
29,1200,21
29,1198,912
29,1214,1370
29,1221,1370
29,1291,474
29,1240,1210
29,1387,1370
29,1304,1210
29,1196,1370
29,457,21
29,589,21
29,1222,912
29,1287,163
29,110,21
29,1220,1370
29,1374,1370
29,1610,1210
29,1580,1370
29,1127,1215
29,377,1242
29,1527,474
29,480,21
29,288,163
33,527,509
33,1210,34
33,1225,866
33,1196,1653
33,318,923
33,608,316
33,593,300
33,1198,1245
33,858,1625
33,904,653
33,919,1088
33,111,32
33,1136,923
33,1299,733
33,296,907
33,903,1625
33,1387,1249
33,908,902
33,1250,17
33,1219,110
33,260,590
33,930,300
33,1213,1345
33,678,1088
33,924,300
33,1269,1104
33,1214,569
33,1294,32
33,1259,902
33,1240,34
33,1208,17
33,1263,1678
33,154,1302
33,971,1296
33,914,1345
33,431,110
33,1266,866
33,1206,910
33,1085,316
33,1674,927
33,1231,34
33,932,1393
33,969,1175
33,1094,1245
33,1291,1302
33,1012,509
33,1092,316
33,1035,110
33,1127,1249
33,377,32
33,1357,733
33,364,1104
33,1086,1663
33,1344,1296
33,1265,866
33,1278,1653
33,592,1345
33,1079,866
33,337,1245
33,1356,1175
33,508,509
33,345,1393
33,1517,1249
33,454,653
33,16,1302
33,480,300
33,1101,1296
33,1680,866
33,1372,653
33,952,1249
33,1130,32
33,1019,17
33,1125,590
33,1340,569
33,1096,316
33,1367,1625
33,1221,733
33,1193,907
33,1252,1678
33,912,34
33,1304,1104
33,1300,1175
33,1394,923
33,953,866
33,589,110
33,1258,1296
33,1200,300
33,1090,1625
33,1270,1249
33,50,300
33,594,1653
33,1222,316
33,1333,1245
33,1283,1175
33,1080,1088
33,1267,17
33,150,1104
33,1374,569
33,47,509
33,293,653
33,1348,907
33,1246,902
33,1610,1345
33,1103,1245
33,1343,910
33,349,34
33,555,866
33,1584,927
33,1089,17
33,1028,1296
33,1321,110
33,1189,1653
33,1247,733
33,1097,316
33,916,110
33,1227,1249
35,1096,728
35,902,1183
35,155,1220
35,1198,592
35,824,948
35,357,863
35,39,595
35,1300,728
35,1172,1408
35,1217,1183
35,1288,1030
35,1185,863
35,1225,1408
35,1674,592
35,1302,948
35,1124,1220
35,1251,728
35,1247,948
35,154,1030
35,1013,595
35,971,863
35,1230,1408
35,1080,1030
35,1294,592
35,1136,592
35,1292,1030
35,1278,595
35,1078,1220
35,1283,728
35,1266,1408
35,1201,1183
35,1028,948
35,945,728
35,899,863
35,919,728
35,914,592
35,1035,1030
35,1029,1183
35,938,948
35,918,1220
35,1081,1183
35,1380,595
35,1252,863
35,908,1183
35,904,595
35,965,948
35,608,1220
35,1264,1183
35,1269,1408
35,1370,592
35,912,595
35,318,863
35,123,1030
35,296,1220
35,1276,595
35,1196,1408
35,1231,1183
35,36,1220
35,1094,592
35,800,592
35,1272,728
35,17,1183
35,1103,1220
35,1419,948
35,953,1408
45,920,527
45,1186,1296
45,1230,469
45,914,852
45,915,1600
45,928,1680
45,969,378
45,916,779
45,1244,34
45,899,838
45,39,566
45,1247,736
45,902,804
45,1265,1043
45,933,697
45,497,1292
45,440,509
45,1188,252
45,943,1593
45,377,3
45,802,1414
45,1307,205
45,25,1500
45,911,1296
45,1639,736
45,11,35
45,900,527
45,1380,1632
45,708,1296
45,339,1398
45,587,435
45,1286,1600
45,46,1571
45,1057,1680
45,289,527
45,215,633
45,937,118
45,48,1171
45,539,104
45,691,7
45,468,509
45,266,1279
45,1409,378
45,605,1043
45,140,469
45,1666,736
45,447,195
45,74,34
45,276,1296
45,237,1296
45,168,153
45,905,1680
45,1304,1677
45,955,736
45,951,35
45,910,1485
45,909,736
45,1,1279
45,235,7
45,1197,804
45,1028,469
45,1235,1296
45,1270,1292
45,728,195
45,1278,697
45,1226,852
45,1269,804
45,588,633
45,1537,1600
45,1077,1593
45,1641,838
45,671,1398
45,357,1571
45,348,566
45,500,35
48,1197,66
48,1193,524
48,552,1371
48,50,798
48,593,1391
48,527,317
48,318,435
48,1233,569
48,1617,1356
48,336,788
48,17,879
48,36,486
48,296,1517
48,1,158
48,150,1373
48,110,798
48,34,239
48,474,835
48,1266,1282
48,47,765
48,590,441
48,32,1457
48,1408,1049
48,62,829
48,364,158
48,1610,1020
48,595,54
48,377,410
48,356,360
48,6,733
48,300,54
48,1584,165
48,588,173
48,161,360
48,453,788
48,349,546
48,39,673
48,440,569
48,500,485
48,1653,276
48,266,1091
48,1527,514
48,1608,66
48,805,514
48,367,1356
48,553,429
48,1580,486
48,1213,1011
48,457,1517
48,589,829
48,1265,818
48,1411,173
48,1183,410
48,480,798
48,1398,160
48,1682,15
48,515,54
48,357,1005
48,10,524
48,1370,441
48,778,765
48,1042,829
48,280,1562
48,454,15
48,497,835
48,104,1049
48,151,1517
48,1573,441
48,539,1049
48,647,1371
48,7,429
48,534,239
48,261,19
48,383,1091
48,832,173
48,1485,1665
48,585,66
48,509,317
48,838,1371
48,1027,673
48,780,410
48,368,1007
48,1459,1005
48,231,798
48,350,1020
48,1372,1020
48,586,798
48,340,165
48,802,546
48,344,1373
48,277,435
48,5,160
48,1097,486
48,1210,546
48,1270,1049
48,1127,1391
48,1200,485
48,1196,317
48,1240,239
48,541,1091
48,1374,733
48,1376,1021
48,1205,165
48,1375,1282
48,316,569
48,24,879
48,442,788
48,1676,1457
48,671,429
48,1204,524
48,912,546
48,1262,765
48,1250,360
48,920,160
48,969,1021
48,1090,788
48,1294,1562
48,1222,435
48,1208,546
48,1488,165
48,991,569
48,1616,276
48,1619,1391
48,466,276
48,594,733
48,1274,829
48,1022,1644
48,596,485
48,1029,719
48,1405,1665
48,1566,524
48,783,1356
48,48,818
48,899,317
48,919,1005
48,914,360
48,1035,66
48,1028,1282
48,1288,1007
48,1220,429
48,1380,19
48,346,1011
48,1304,239
48,916,173
48,910,1373
48,1307,15
48,1136,160
48,1256,1665
48,1073,673
48,915,569
48,1125,441
48,1257,818
48,597,1371
48,934,19
48,380,829
48,1010,435
48,372,1517
48,1569,1644
48,543,486
48,339,54
48,520,1517
48,236,1373
48,1377,765
48,333,441
48,1254,158
48,1287,410
48,1198,1011
48,260,788
48,1259,835
48,1085,733
48,1291,410
48,1019,546
48,592,818
48,648,66
48,303,1391
48,329,1020
48,736,276
48,208,66
48,153,1049
48,653,1020
48,168,158
48,2,879
48,1544,1457
48,60,1005
48,1247,514
48,902,1011
48,858,569
48,1221,486
48,926,719
48,1104,239
48,923,733
48,1207,673
48,1201,1562
48,1283,1282
48,599,158
48,996,410
48,1379,1356
48,1378,15
53,694,1676
53,902,427
53,1193,1556
53,1425,242
53,1127,242
53,223,611
53,1093,1342
53,233,1556
53,913,242
53,968,1676
53,1513,1676
53,1623,327
53,1201,48
53,1266,242
53,590,1342
53,368,1051
53,1378,48
53,432,1342
53,1294,48
53,1196,1126
53,1090,327
53,912,1556
53,1299,126
53,1208,327
53,1242,1051
53,1200,1126
53,969,1499
53,1222,427
53,356,611
53,1408,242
53,1205,1556
53,1184,48
53,780,1051
53,1619,126
53,1391,242
53,50,1126
53,1219,1676
53,593,427
53,745,242
53,1248,611
53,924,1126
53,1212,126
53,1617,1676
53,608,611
53,904,427
53,903,1676
53,1274,327
53,589,1556
53,1218,242
53,293,427
53,457,1126
53,1240,327
53,1214,1342
53,1089,1556
53,1036,1342
53,1249,1676
53,1610,427
53,1674,126
53,247,1126
53,561,327
53,47,242
53,16,1051
53,482,1676
53,866,1342
53,319,1676
53,1343,611
53,1129,427
53,1625,1556
53,1653,48
53,349,327
53,190,1556
53,587,427
53,377,1051
53,1370,611
53,164,1126
53,832,1051
53,230,1342
53,1459,242
53,1648,126
53,280,48
53,1407,327
53,353,1342
53,543,126
53,494,1676
53,454,611
53,22,48
53,1645,242
53,1092,1051
53,1352,126
53,521,327
53,165,611
53,1479,427
53,1608,1676
53,70,1676
53,1597,427
53,1047,1676
53,1480,1342
53,100,327
53,18,48
53,1320,1556
53,436,1342
53,1658,1126
53,1483,1126
53,170,126
53,1552,1556
53,1037,242
53,736,611
53,172,1126
53,415,1051
53,849,48
53,519,1126
53,1175,1676
53,1206,126
53,260,1556
53,741,427
53,541,1342
53,29,1556
53,1374,611
53,1270,1051
53,32,48
53,1077,327
53,1097,242
53,1199,1342
53,718,1499
53,1584,126
53,1210,427
53,480,611
53,1019,327
53,610,1676
53,1356,1676
53,1527,1676
53,1396,48
53,198,1556
53,1215,1556
53,1580,126
53,76,327
53,1334,327
53,1573,611
53,442,1342
53,674,1342
53,316,242
53,788,1556
53,1371,1556
53,196,242
53,435,427
53,1603,48
53,173,1126
53,880,242
53,160,611
53,950,242
53,648,1676
53,492,126
53,1627,242
53,123,1342
53,513,611
53,594,327
53,919,1342
53,199,1126
53,1282,242
53,364,1051
53,595,327
53,914,427
53,1028,1676
53,1035,1051
53,1022,1051
53,551,611
53,588,1342
53,1032,48
53,661,1126
53,1029,1051
53,1057,1676
53,1031,1126
53,1566,126
53,963,1556
53,1088,1051
53,1380,48
53,1030,1051
53,1487,242
53,783,1676
53,901,1126
53,829,126
53,1258,1676
53,1387,427
53,1333,427
53,1278,242
53,735,48
53,1350,126
53,799,1676
53,1321,1051
53,330,1499
53,1345,611
53,1130,48
53,1347,126
53,382,242
53,253,427
53,1339,242
53,565,327
53,1261,611
53,532,427
53,177,1051
53,188,48
53,724,1126
53,922,126
53,1179,1556
53,1073,327
53,2,1556
53,1009,611
53,653,427
53,858,1342
53,1221,126
53,1244,1051
53,318,48
53,1225,242
53,1213,327
53,1247,1676
53,296,1126
53,1207,327
53,265,1556
53,920,611
53,1296,1676
53,1280,427
53,1272,242
53,994,48
53,150,242
53,1305,1342
53,1046,327
53,34,1051
53,529,242
53,953,242
53,1095,1676
53,1094,427
53,17,327
53,1302,1342
53,1277,1556
53,1246,1126
53,1295,1676
53,1678,126
53,1393,1676
53,1259,1676
53,456,1051
53,1300,1676
53,1186,242
53,1103,327
53,337,242
53,501,611
53,232,1556
53,509,48
53,515,1126
53,300,1126
53,272,126
53,326,1556
53,1682,611
53,1060,1126
53,1041,1676
53,222,1499
53,1357,48
53,322,427
53,25,1051
53,431,1342
53,1639,126
53,290,1342
53,1635,1676
53,493,611
53,1466,48
53,1498,48
53,235,1051
53,307,611
53,846,126
58,1221,1311
58,1193,1372
58,29,748
58,1175,1311
58,1208,1552
58,1199,1376
58,32,95
58,1676,1311
58,1264,95
58,1196,1603
58,858,379
58,1240,1552
58,1304,1552
58,1198,1372
58,1214,185
58,1197,880
58,1200,1373
58,589,748
58,110,95
58,1387,1311
58,1287,849
58,592,1372
58,1127,1373
58,1036,880
58,1261,1311
58,288,185
58,1215,379
58,21,748
58,969,95
58,163,1376
58,1291,849
58,480,185
58,1408,1373
58,1275,1552
58,610,1311
58,1356,1311
58,1573,185
58,1374,1311
58,377,1376
58,1129,1372
58,1580,1311
58,353,379
58,70,1311
58,1370,1311
58,1377,1311
58,1527,1311
58,1587,1603
58,329,1552
58,1586,1552
58,1320,1603
58,1597,1372
58,1378,849
58,1101,880
58,736,1311
58,368,1376
58,1391,1373
58,153,880
58,1371,849
58,517,1311
58,1205,1603
58,608,185
58,1225,1373
58,1204,1376
58,527,1603
58,318,849
58,1250,1552
58,296,880
58,1247,748
58,1617,1311
58,919,379
58,1294,379
58,260,185
58,1235,1311
58,904,1372
58,954,95
58,593,1603
58,1267,1372
58,908,1376
58,1258,1311
58,750,1373
58,912,1552
58,541,748
58,1219,95
58,1089,748
58,913,880
58,1394,1311
58,1217,1552
58,111,379
58,1206,849
58,720,748
58,1185,1376
58,1103,1372
58,1288,95
58,920,1603
58,1222,1552
58,778,1311
58,1230,1373
58,1411,95
58,1224,849
58,1249,1311
58,1136,880
58,926,1376
58,1213,1372
58,1080,1373
58,1274,1552
58,34,1552
58,1242,880
58,903,1311
58,1333,1372
58,1231,748
58,162,1603
58,1090,185
58,1321,95
58,17,379
58,594,1311
58,1282,1373
58,457,849
58,1041,1311
58,1270,1376
58,293,1372
58,509,1603
58,1610,1552
58,223,849
58,562,748
58,741,880
58,596,95
58,1682,1603
58,1307,379
58,1285,1373
58,1073,185
58,235,1376
58,1060,748
58,1253,1372
58,392,849
58,151,95
58,1220,1372
58,1350,880
58,1298,1311
58,1639,1311
58,1641,1603
58,1259,1311
58,471,849
58,1517,1373
58,1663,880
58,1022,1376
58,1295,1373
58,1097,1311
58,1500,1376
58,1246,95
58,661,849
58,968,1311
58,1674,1603
60,1042,1372
60,368,216
60,380,158
60,316,235
60,986,1580
60,112,688
60,10,590
60,329,1372
60,736,216
60,1552,1372
60,1544,1676
60,2,158
60,60,357
60,1356,1676
60,1,158
60,1180,216
60,21,158
60,1500,1645
60,356,1372
60,513,1372
60,1617,1676
60,1597,1372
60,350,1372
60,1459,1641
62,1617,85
62,222,1366
62,110,1222
62,1198,782
62,82,480
62,25,225
62,608,480
62,318,508
62,1266,85
62,1249,85
62,1095,85
62,296,593
62,281,1222
62,1094,85
62,1450,593
62,36,597
62,1466,418
62,590,437
62,1089,480
62,32,508
62,1635,225
62,265,480
62,428,85
62,141,597
62,1401,1541
62,1680,418
62,1050,418
62,1678,707
62,269,85
62,361,360
62,509,508
62,1414,597
62,1245,782
62,1639,182
62,288,360
62,1177,225
62,474,225
62,1625,640
62,457,418
62,1343,1366
62,377,508
62,708,1541
62,1396,707
62,733,182
62,29,480
62,237,1222
62,1589,360
62,475,640
62,11,593
62,78,418
62,381,85
62,848,1366
62,1643,1541
62,230,225
62,1573,437
62,371,782
62,21,480
62,368,225
62,450,480
62,254,480
62,1527,225
62,164,707
62,1614,225
62,521,182
62,350,1222
62,500,418
62,454,640
62,1432,85
62,329,1222
62,1620,418
62,224,85
62,1488,593
62,451,437
62,587,782
62,410,508
62,105,225
62,122,85
62,1409,225
62,802,597
62,806,360
62,465,418
62,1477,1366
62,7,597
62,630,480
62,207,508
62,1463,85
62,2,480
62,100,182
62,653,640
62,1629,1366
62,3,225
62,382,225
62,830,597
62,780,85
62,445,437
62,1513,225
62,132,418
62,79,1222
62,185,480
62,172,480
62,1363,1366
62,455,480
62,664,1541
62,858,437
62,1221,707
62,16,85
62,1213,782
62,50,480
62,1228,597
62,111,1366
62,912,1222
62,913,85
62,1254,182
62,1284,782
62,1092,225
62,279,593
62,412,225
62,339,360
62,431,480
62,1242,85
62,1196,508
62,1225,85
62,1185,593
62,1299,1541
62,1293,418
62,1259,225
62,1090,707
62,1173,640
62,1302,225
62,1674,1541
62,1097,85
62,1227,707
62,1286,85
62,1395,360
62,592,360
62,594,182
62,905,640
62,920,593
62,965,225
62,954,1366
62,1256,707
62,955,1541
62,959,225
62,1099,782
62,974,182
62,928,418
62,1212,640
62,923,593
62,929,418
62,930,597
62,1269,85
62,953,85
62,931,437
62,1282,782
62,898,1222
62,960,85
62,1281,508
62,596,418
62,906,85
62,1029,225
62,956,85
62,1344,1541
62,750,707
62,1247,437
62,1172,85
62,1307,508
62,1079,437
62,1270,418
62,1081,85
62,1220,360
62,6,182
62,1372,640
62,1408,418
62,1356,225
62,1210,1222
62,1240,1222
62,1374,593
62,1291,225
62,1376,225
62,1375,597
62,1373,85
62,1296,85
62,541,480
62,1258,225
62,1096,85
62,1199,437
62,1246,225
62,1088,597
73,1196,511
73,720,434
73,70,8
73,240,168
73,1261,1015
73,590,434
73,1580,44
73,480,405
73,1215,434
73,380,405
73,1372,653
73,1356,836
73,316,196
73,112,173
73,329,39
73,733,485
73,1552,39
73,1377,1544
73,1615,168
73,464,8
73,1676,836
73,208,780
73,153,168
73,110,405
73,589,434
73,1610,39
73,457,1015
73,1527,1544
73,1370,44
73,377,780
73,353,405
73,198,39
73,861,44
73,442,1431
73,165,1556
73,1608,196
73,1429,8
73,1597,653
73,1479,653
73,1320,1556
73,95,196
73,1037,485
73,786,836
73,466,546
73,9,44
73,379,849
73,172,173
73,1004,849
73,692,1544
73,704,511
73,1606,44
73,990,1015
73,1148,8
73,34,546
73,1,168
73,1265,196
73,223,511
73,1175,836
73,1641,485
73,180,849
73,663,836
73,104,1544
73,356,44
73,597,1556
73,1517,511
73,1584,1015
73,32,1562
73,671,653
73,1573,44
73,435,511
73,185,1431
73,519,511
73,1270,8
73,1197,849
73,1394,44
73,1222,39
73,1291,780
87,1197,585
87,1198,583
87,260,555
87,1196,377
87,1201,1649
87,1240,583
87,1277,583
87,1387,585
87,1036,585
87,589,826
87,457,1032
87,110,826
87,145,438
87,1291,1032
87,733,585
92,318,527
92,34,362
92,920,160
92,593,86
92,17,673
92,919,1127
92,110,73
92,1097,648
92,953,1265
92,1682,36
92,1271,1023
92,1099,1387
92,910,788
92,1136,160
92,1307,558
92,1080,1393
92,1,1033
92,357,76
92,588,1544
92,1270,1033
92,1197,1282
92,486,648
92,569,736
92,356,1623
92,440,217
92,514,1527
92,1641,661
92,589,748
92,1200,1033
92,32,24
92,480,1615
92,1573,551
92,1019,1595
92,1580,86
92,435,558
92,223,1405
92,367,256
92,39,673
92,1461,1029
92,104,24
92,216,1023
92,364,1127
92,594,327
92,595,76
92,596,1064
92,1032,1544
92,1022,1298
92,1566,653
92,709,648
92,1030,1527
92,239,1605
92,48,60
92,899,86
92,914,1623
92,1028,1282
92,1035,1033
92,900,527
92,1380,303
92,1031,1033
92,1088,73
92,901,24
92,107,36
92,1381,258
92,829,2
92,1198,327
92,1073,76
92,380,748
92,552,616
92,733,1387
92,1582,1064
92,158,362
92,1552,1595
92,8,1265
92,153,1605
92,434,1615
92,1377,648
92,329,1595
92,1009,736
92,455,24
93,21,480
93,1196,1599
93,260,145
93,247,112
93,1097,1608
93,653,1129
93,673,1073
93,720,380
93,1274,349
93,741,1429
93,610,786
93,364,95
93,588,420
93,595,48
93,1214,1405
93,1233,1387
93,1218,1599
93,1198,555
93,589,405
93,1036,1429
93,1200,112
93,1291,168
93,1240,1552
93,1210,145
93,1127,1608
93,1197,786
93,1215,349
93,592,44
93,1201,1378
93,457,420
93,1610,1552
93,733,1388
93,969,95
93,163,44
93,353,480
93,377,1544
93,474,153
93,1356,1544
93,1580,1387
93,6,1129
93,1372,1129
93,1275,1073
93,861,288
93,198,349
93,10,165
93,368,168
93,1573,288
93,648,1608
93,1375,303
93,329,1552
93,1385,786
93,1587,442
93,316,1608
93,1377,786
93,1676,1544
93,464,1608
93,780,153
93,434,380
100,1676,648
100,260,1580
100,1198,1597
100,541,380
100,1210,1597
100,800,380
100,1221,1580
100,858,780
100,1196,648
100,1304,1597
100,1387,1580
100,1291,1049
100,1200,1049
100,969,208
100,110,380
100,21,380
100,1197,648
100,480,380
100,1408,1049
100,349,1597
100,592,1597
100,1372,1597
100,1356,648
100,368,780
100,288,380
100,329,1597
100,1101,648
100,1375,1580
100,1586,1597
100,292,1580
100,1371,1580
100,1373,648
100,1544,1049
100,15,1580
117,1261,1394
117,356,160
117,1500,34
117,648,1377
117,1274,434
117,1196,32
117,1198,673
117,1225,1391
117,1090,324
117,1300,1379
117,1217,34
117,1242,204
117,1238,1097
117,1224,849
117,1270,204
117,1259,1544
117,1231,434
117,1240,332
117,1197,849
117,1275,673
117,921,891
117,1036,1377
117,1291,1681
117,1200,457
117,592,12
117,1374,1394
117,1129,160
117,1222,332
117,1210,34
117,1663,1405
117,1302,1219
117,1376,1337
117,1290,1097
117,1101,1391
117,1321,1681
117,610,1379
117,1298,1544
117,1130,32
117,1378,32
117,1587,1499
117,1135,457
117,1148,1219
117,745,1377
117,1,1219
117,589,434
117,110,204
117,593,1391
117,1610,12
117,1265,1097
117,223,1405
117,293,160
117,150,1377
117,1215,434
117,1233,891
117,1356,1379
117,353,434
117,1580,1394
117,316,1097
117,1527,1544
117,1372,332
117,442,324
117,251,1391
117,1608,1377
117,10,1391
117,349,849
117,780,1337
117,377,32
117,1370,1394
117,1616,1394
117,165,457
117,1676,1379
117,1479,12
117,329,34
117,1573,324
117,552,434
117,1049,1337
117,44,160
117,1552,12
117,1320,1405
117,95,1219
117,736,891
117,153,34
117,173,457
117,1100,1097
117,533,1377
117,168,204
117,1438,849
117,748,434
117,1037,1391
117,172,434
117,694,891
117,1385,1097
117,1606,332
117,737,1377
117,393,1544
117,405,849
